timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65
2025-06-04 15:57:29,127390.0,126918.1,24172.8,24180.8,24166.3,17928.8,17931.5,17933.9,37093.2,37113.0,37096.3,25518.3,25517.3,25509.2,226812.1,227617.5,3285.2,3277.6,2122.5,2134945.5,2122.8,1100.1,1100.1,1100.1,3150.8,3149.5,3149.2,1804.3,1804.9,1805.7,5218.4,5218.9,9407.7,9411.5,6517.7,6519.4,6522.4,1557.7,1557.8,1558.0,10177.9,10178.0,10182.6,4085.0,4087.2,4088.3,50523.9,50559.7,2266724.5,2214668.5,3657.8,3654.9,3654.3,3423.4,3423.3,3423.6,1100.4,1100.4,1100.4,2130.0,2128.1,2129.0,6251.3,6251.1,28.49,46.209999
2025-06-04 15:57:32,127413.2,127448.8,24174.1,24170.1,24163.2,17917.8,17929.8,17934.2,37106.3,37123.7,37120.3,25506.1,25527.9,25525.6,226803.4,227142.3,3284.7,3276.7,2121.8,2296567.2,2122.3,1100.2,1100.1,1100.1,3148.5,3148.0,3148.4,1804.1,1804.7,1805.2,5216.6,5215.2,9399.3,9400.3,6517.3,6516.2,6516.0,1556.5,1556.4,1556.8,10177.7,10174.5,10173.7,4076.3,4075.4,4080.0,50434.7,50492.7,2275857.5,2274984.5,3652.9,3650.2,3649.4,3421.9,3421.3,3421.7,1100.4,1100.4,1100.4,2127.8,2126.6,2126.9,6248.6,6246.1,28.49,46.23
2025-06-04 15:57:37,127684.9,127967.5,24180.4,24176.2,24169.9,17927.7,17933.3,17932.4,37033.0,37082.4,37082.4,25518.4,25514.3,25516.6,227107.5,227133.6,3282.8,3275.0,2120.9,2158645.8,2121.2,1100.1,1100.1,1100.1,3142.7,3143.3,3142.5,1803.1,1803.5,1804.2,5214.0,5213.3,9390.6,9396.1,6515.1,6517.2,6514.7,1555.5,1555.2,1555.7,10164.8,10166.9,10164.7,4077.8,4081.2,4082.1,50371.4,50399.0,2203150.8,2204788.8,3650.1,3647.7,3646.7,3421.5,3421.1,3421.4,1100.4,1100.4,1100.4,2127.9,2126.5,2126.9,6248.1,6247.8,28.52,46.200001
2025-06-04 15:57:40,127528.4,127676.7,24161.2,24157.3,24165.4,17919.1,17921.2,17927.1,37099.2,37074.9,37060.8,25496.5,25486.4,25482.5,227207.6,227429.8,3281.7,3274.0,2119.3,2174873.8,2119.3,1100.1,1100.1,1100.1,3138.9,3136.9,3136.9,1801.4,1802.2,1803.0,5211.6,5211.7,9394.2,9395.1,6517.8,6516.6,6513.7,1555.4,1555.3,1556.0,10156.3,10153.3,10158.5,4070.4,4070.6,4070.3,50403.3,50462.0,2248250.0,2230913.2,3646.7,3644.1,3643.6,3420.5,3420.1,3420.7,1100.4,1100.4,1100.4,2126.4,2125.0,2125.4,6244.1,6244.0,28.549999,46.130001
2025-06-04 15:57:42,127160.4,127516.0,24143.2,24143.0,24147.6,17899.4,17908.2,17906.7,37087.9,37057.7,37053.2,25466.2,25467.8,25473.9,227364.4,224876.5,3280.4,3272.3,2118.7,2116280.8,2118.5,1100.1,1100.1,1100.1,3133.0,3132.0,3132.1,1800.0,1800.7,1801.2,5209.4,5208.3,9388.7,9390.8,6511.7,6512.2,6510.7,1555.1,1554.7,1555.3,10157.1,10147.8,10152.8,4070.8,4074.5,4074.2,50372.7,50381.0,2364788.0,2243148.0,3644.8,3642.2,3641.1,3419.6,3418.9,3419.1,1100.4,1100.4,1100.4,2126.4,2124.8,2125.0,6243.5,6244.2,28.559999,46.130001
2025-06-04 15:57:44,127533.8,127797.8,24126.5,24131.3,24129.4,17893.5,17888.8,17904.4,37057.5,37089.2,37075.6,25473.1,25466.7,25461.4,226387.8,226673.4,3278.4,3270.6,2117.7,2112888.2,2117.6,1100.1,1100.1,1100.1,3129.4,3127.5,3127.8,1798.7,1799.4,1800.2,5205.4,5204.0,9391.2,9395.5,6510.9,6513.4,6513.0,1554.9,1554.7,1555.3,10143.9,10149.8,10146.2,4069.7,4073.1,4072.8,50299.9,50368.8,2168512.0,2194590.8,3640.9,3638.4,3637.7,3418.2,3418.0,3417.4,1100.4,1100.4,1100.4,2126.0,2124.5,2124.7,6246.0,6246.0,28.559999,46.18
2025-06-04 15:57:46,127387.2,127652.0,24113.7,24118.1,24114.9,17890.6,17869.5,17891.7,37018.3,37061.8,37024.1,25452.3,25442.0,25460.2,227499.6,227517.1,3277.6,3269.6,2116.1,2070836.4,2115.9,1100.1,1100.1,1100.1,3123.7,3123.6,3122.7,1797.6,1798.4,1798.8,5203.5,5203.4,9384.8,9386.6,6509.3,6509.4,6508.4,1554.1,1553.9,1554.2,10142.5,10141.2,10135.8,4067.3,4070.1,4071.9,50214.4,50278.6,2142658.5,2224220.0,3636.4,3634.3,3633.3,3417.5,3417.2,3417.2,1100.4,1100.4,1100.4,2124.7,2123.2,2123.8,6242.1,6244.0,28.59,46.150002
2025-06-04 15:57:48,127505.0,127507.8,24106.7,24117.4,24109.5,17871.1,17869.9,17872.4,37028.3,37039.7,37023.5,25427.3,25443.5,25449.5,227198.9,227338.2,3276.7,3268.7,2115.6,2139566.8,2115.7,1100.1,1100.1,1100.1,3121.3,3120.0,3120.4,1797.2,1797.8,1798.5,5203.0,5203.5,9382.6,9385.1,6504.5,6508.2,6504.8,1553.4,1553.2,1553.8,10141.2,10141.1,10136.8,4068.0,4068.4,4070.4,50309.6,50334.6,2112888.2,2197029.8,3635.0,3632.3,3631.7,3416.5,3416.0,3416.2,1100.4,1100.4,1100.4,2124.1,2122.5,2123.3,6242.4,6242.3,28.58,46.110001
2025-06-04 15:57:50,127886.0,127303.8,24091.7,24086.3,24092.8,17867.2,17873.7,17864.4,37030.0,36995.4,37009.4,25417.5,25416.6,25434.0,226833.8,228226.5,3275.8,3267.5,2114.9,2166927.2,2115.0,1100.1,1100.1,1100.1,3117.4,3117.0,3116.7,1795.9,1796.8,1797.1,5202.8,5202.0,9378.1,9379.9,6504.1,6503.2,6502.5,1553.1,1553.1,1553.5,10137.4,10135.9,10134.0,4066.5,4063.8,4067.3,50224.4,50265.8,2274984.5,2234696.0,3632.9,3630.6,3629.7,3415.7,3415.4,3415.7,1100.4,1100.4,1100.4,2122.5,2121.2,2121.8,6236.0,6236.0,28.59,46.029999
2025-06-04 15:57:52,127275.1,127634.1,24082.4,24075.1,24086.1,17863.7,17865.3,17861.0,36988.2,37031.6,36997.9,25414.2,25427.5,25425.9,227168.4,228138.7,3274.9,3267.2,2114.5,2082836.0,2114.9,1100.1,1100.1,1100.1,3115.5,3114.9,3114.4,1795.5,1796.3,1796.9,5200.9,5200.5,9375.9,9376.2,6502.3,6499.4,6498.1,1552.6,1552.3,1552.8,10136.3,10134.5,10134.5,4062.3,4066.1,4067.6,50265.4,50305.7,2206429.0,2221720.2,3630.4,3628.0,3627.6,3414.8,3414.3,3413.8,1100.4,1100.4,1100.4,2122.0,2120.2,2120.7,6237.7,6234.5,28.6,45.98
