ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature,class
122092.2,122398.5,24698.4,24696.7,24697.3,18578.2,18586.2,18590.5,34882.6,34929.1,34925.3,23434.5,23432.7,23454.4,222117.5,222663.9,3005.3,2997.0,1944.1,2200698.2,1943.9,1100.1,1100.1,1100.1,2862.5,2861.5,2861.6,1757.5,1758.1,1758.7,4822.1,4821.5,8738.7,8740.1,7249.1,7247.7,7247.8,1543.0,1542.9,1543.3,10781.3,10781.4,10781.6,4054.4,4056.8,4057.7,47301.5,47334.4,2262401.0,2237224.8,3007.5,3006.3,3005.6,3031.7,3031.4,3031.7,1100.4,1100.4,1100.4,1829.0,1827.3,1827.5,5550.5,5550.8,34.82,26.68,ambient
122331.6,122210.5,24695.4,24698.6,24705.7,18577.2,18568.2,18565.3,34926.8,34907.0,34912.2,23441.6,23434.7,23424.5,221793.4,223376.9,3005.0,2996.9,1943.9,2229236.0,1943.9,1100.2,1100.1,1100.1,2862.8,2862.5,2862.0,1756.9,1757.8,1758.1,4821.7,4821.8,8742.4,8745.6,7251.3,7252.2,7250.8,1543.4,1543.0,1543.5,10767.5,10775.0,10774.2,4053.4,4055.7,4058.1,47200.4,47345.0,2158645.8,2498796.5,3007.7,3005.8,3005.6,3031.8,3031.4,3031.6,1100.4,1100.4,1100.4,1829.4,1827.5,1828.0,5551.9,5554.5,34.82,26.68,ambient
122311.4,122284.9,24687.6,24698.1,24703.1,18581.1,18572.5,18576.4,34902.5,34905.1,34918.8,23450.6,23419.2,23431.0,223221.3,222647.1,3005.2,2997.1,1943.8,2129196.8,1944.1,1100.1,1100.1,1100.1,2862.7,2862.2,2862.4,1757.1,1758.1,1759.1,4822.4,4822.2,8739.3,8740.1,7251.4,7250.1,7248.6,1543.2,1543.1,1543.4,10770.0,10780.6,10776.9,4055.6,4057.9,4056.6,47281.1,47300.7,2320378.2,2347007.5,3007.6,3006.0,3005.7,3031.7,3031.3,3031.7,1100.4,1100.4,1100.4,1829.5,1827.5,1828.0,5553.2,5553.6,34.82,26.68,ambient
122141.2,122191.6,24703.4,24693.0,24701.1,18575.3,18573.7,18568.1,34900.7,34909.1,34944.2,23421.7,23452.8,23425.3,221980.3,222354.9,3005.2,2997.1,1943.8,2208072.2,1944.0,1100.1,1100.1,1100.1,2863.6,2863.2,2863.2,1757.7,1758.2,1758.9,4823.0,4821.7,8739.3,8740.1,7253.5,7250.5,7251.9,1543.1,1542.9,1543.5,10787.1,10782.0,10785.3,4049.5,4053.8,4055.3,47266.0,47302.6,2313138.2,2232593.0,3007.9,3006.7,3005.9,3031.8,3031.5,3031.9,1100.4,1100.4,1100.4,1829.6,1827.7,1828.2,5552.4,5552.0,34.810001,26.68,ambient
121960.3,122460.5,24697.6,24692.5,24700.1,18569.5,18578.0,18578.2,34924.1,34892.9,34904.0,23440.4,23435.9,23433.8,221148.2,222338.2,3005.0,2997.0,1943.8,2223386.2,1943.8,1100.2,1100.1,1100.1,2862.9,2862.6,2862.4,1757.5,1758.3,1758.9,4821.2,4821.4,8739.0,8736.8,7256.3,7255.7,7253.8,1543.5,1543.3,1543.6,10779.5,10781.2,10775.4,4050.1,4050.9,4052.0,47295.3,47286.0,2234696.0,2379494.0,3008.4,3006.8,3006.2,3031.8,3031.5,3031.7,1100.4,1100.4,1100.4,1829.4,1827.8,1828.3,5550.9,5551.7,34.830002,26.66,ambient
122492.1,122117.3,24689.2,24698.6,24699.9,18579.3,18578.7,18585.3,34929.7,34898.3,34908.9,23433.1,23426.0,23432.8,223057.6,222885.7,3005.4,2997.2,1943.9,2195403.0,1943.9,1100.2,1100.1,1100.1,2862.9,2862.4,2862.5,1757.9,1758.4,1759.0,4821.9,4821.6,8738.7,8738.6,7254.2,7254.5,7251.8,1543.3,1543.1,1543.7,10784.9,10791.5,10787.6,4051.8,4052.8,4054.4,47324.0,47329.8,2214668.5,2322195.2,3008.8,3006.4,3006.2,3031.7,3031.4,3031.6,1100.4,1100.4,1100.4,1829.4,1827.5,1827.8,5553.8,5554.8,34.810001,26.66,ambient
122200.4,122401.0,24714.5,24713.0,24691.9,18576.2,18579.7,18575.8,34901.9,34906.1,34914.4,23424.1,23414.1,23435.0,222096.7,222117.5,3005.6,2997.2,1944.1,2153941.8,1944.1,1100.2,1100.1,1100.1,2863.6,2863.7,2862.6,1757.7,1758.6,1758.8,4822.9,4822.5,8738.6,8737.8,7252.7,7251.2,7252.0,1543.4,1543.2,1543.5,10783.9,10779.1,10786.0,4052.9,4052.1,4055.3,47279.8,47344.4,2336374.8,2317657.8,3008.6,3007.1,3006.6,3031.6,3031.3,3031.7,1100.4,1100.4,1100.4,1829.8,1827.7,1828.0,5554.8,5554.6,34.849998,26.68,ambient
121850.0,122143.8,24701.1,24692.5,24699.4,18577.7,18585.0,18579.8,34903.8,34911.6,34900.3,23422.1,23419.8,23425.8,221189.4,221980.3,3005.6,2997.1,1944.1,1972682.4,1944.2,1100.1,1100.1,1100.1,2863.8,2863.2,2863.0,1757.6,1758.4,1759.0,4822.5,4822.0,8739.2,8741.2,7252.3,7252.6,7251.5,1543.4,1543.3,1543.7,10783.9,10783.5,10776.5,4051.5,4052.4,4053.9,47315.5,47334.0,2242300.0,2193778.8,3009.4,3007.5,3006.8,3031.6,3031.5,3031.5,1100.4,1100.4,1100.4,1829.4,1827.8,1828.3,5554.5,5554.6,34.810001,26.700001,ambient
122385.9,122390.9,24698.5,24686.3,24713.0,18588.6,18580.6,18581.5,34925.5,34918.4,34912.8,23420.8,23428.8,23430.1,222475.9,223221.3,3005.4,2997.1,1944.0,2169305.0,1944.0,1100.1,1100.1,1100.1,2863.6,2863.3,2864.1,1757.6,1758.2,1758.8,4823.0,4823.5,8743.0,8744.9,7251.9,7253.1,7253.2,1543.6,1543.5,1543.9,10771.1,10776.6,10779.2,4053.4,4056.0,4055.7,47374.7,47299.2,2253803.5,2249956.0,3008.9,3007.2,3007.1,3032.3,3031.9,3031.9,1100.4,1100.4,1100.3,1830.0,1828.1,1828.3,5557.6,5556.3,34.810001,26.68,ambient
122346.7,122240.7,24702.3,24719.0,24700.3,18574.2,18579.6,18576.1,34909.8,34897.9,34857.5,23433.2,23433.8,23453.5,222919.2,221123.4,3005.4,2997.1,1944.3,2112135.8,1944.2,1100.1,1100.1,1100.1,2863.8,2863.4,2863.4,1758.1,1758.8,1759.5,4823.6,4822.7,8742.8,8740.1,7253.1,7252.7,7251.9,1543.4,1543.1,1543.5,10782.0,10780.8,10770.0,4050.6,4053.0,4054.2,47322.1,47344.0,2290359.5,2305495.0,3008.9,3007.6,3006.9,3032.1,3031.4,3031.7,1100.4,1100.4,1100.3,1830.3,1828.4,1828.6,5554.0,5553.7,34.82,26.639999,ambient
